Version,Rating,Date,Aspects,Body
20.0.1,1,1/29/20,"General, Mileage, Quality","Log in issues and it stopped tracking my mileage on its on. I'm trying to pull my information for my taxes and it will not let me log on. More than frustrating, I want my money back!!!! And yes I have tried reinstalling the app!"
19.12.0.12,5,1/29/20,General,Great Business Tool
,5,1/29/20,General,One of my top go-to apps. Very useful and a ton of functionality.
19.12.0.12,4,1/29/20,Receipt Capture,"Good but receipt scanning needs to be like the self employed app, if possible. Do that and 5 stars for def"
,3,1/29/20,General,Blessed and grtfl
19.12.0.12,1,1/29/20,Subscription,"Even though I canceled my subscription 1 month ago, it still continues to withhold money from me. Good news. They took my credit card yesterday again 4.99 cad. This is second time...."
20.0.1,3,1/29/20,"General, Invoicing","I really love the convenience this app has given me and my business over the last couple years. However, this last update seems to have removed the ""send/resend invoice"" button on the invoice page. I have relaunched the app a couple times, but no improvement. Could you please fix this? On another note, at some point I would also love it if you could add the ""Create Bill"" feature that QuickBooks online has."
20.0.1,5,1/28/20,General,"Amazing app, I literally use it everyday. You need this app if you have your own business."
,2,1/28/20,"Quality, Customers Service","It keeps logging out of my bank, and also deleted a lot of what I logged from last year.. now I dont have the correct information that I need... not very happy with this quickbooks app..."
19.12.0.12,5,1/28/20,General,Makes book keeping so easy
,1,1/28/20,"Subscription, Customers Service","Horrible, spent 2 hours trying to cancel subscription. They don't have the cancel button. Called them...45 min wait. Terrible service."
19.12.0.12,5,1/28/20,General,very user friendly
19.12.0.12,1,1/28/20,Estimates,Cannot change estimates from pending to accepted on android version.
19.12.0.12,5,1/28/20,General,You are the best
19.12.0.12,1,1/28/20,"General, Quality",Sucks. Terrible app
19.11.0.8,5,1/28/20,General,"So far, so good... Much better and more functional than similar apps."
19.12.0.12,2,1/28/20,Attachments,"Can't attach PDFs to expenses, but you can do this on the web? This is not helpful when I buy something online and need to attach a digital receipt."
19.12.0.12,5,1/27/20,General,"Awesome app, Makes management easy"
19.12.0.9,5,1/27/20,"Navigation, Invoices","Easy navigation, easy access to invoices"
19.12.0.12,5,1/27/20,General,"This software has made it possible for me to run a business having no prior experience, and not really being good at budgeting personally. Recommend it at the drop of a hat."
19.12.0.12,5,1/27/20,"General, Accounting",A very good app for accounting. Has made my life better.
19.12.0.12,5,1/27/20,Global,Why this app is not in french ???
19.12.0.12,1,1/27/20,General,"Very disappointed that once the app downloads popup advertising constantly appears on the phone. Not only does it just come up on a screen, but no matter what app you may be in you will be diverted to quickbooks app and then diverted to their advertisers page. VERY ANNOYING! Especially in time sensitive situations like login situations on other sites, or snapchat. I am seriously considering deleting the app if they don't fix this problem soon."
19.12.0.12,5,1/27/20,General,Very helpful tool in the office and in the field
19.12.0.12,5,1/27/20,General,Great
,5,1/27/20,General,Very easy to use and providing all functionality I need
20.0.0,1,1/27/20,"General, Invoicing, Tax",Not very user friendly. Can't preview invoices. Can't load tax keeps giving errors. Can't setup invoice layout with logo ect.... Already paid in advance but can't use it.
20.0.0,5,1/27/20,"General, Experience, Help",I love how easy quick books is to learn but it can be quite confusing at times. The tutorials in you tube and on the Intuit website are super helpful. There are so many things you can accomplish so much faster when you discover the correct path to take. I had some accounting experience and understand the logistics but getting deeper into the realm of bookkeeping and advanced accounting principals has proven to be a challenge to say the least but I'm determined to keep at it until I'm an expert!!
,3,1/27/20,"General, Banking","I liked it.. I just logged into my bank account from this app and all myvanking info was there like my investments, chequeing and savings accounts all in 1 place... It's more for business people and you have 2 pay monthly fees"
19.12.0.12,1,1/27/20,Quality,I downloaded this app and not once has it worked. It crashes when I'm trying to login. I've never made it past the login screen!
19.10.0.3,5,1/26/20,General,The QuickBooks mobile app is user-friendly and has most of the functions available the PC app has.
19.12.0.12,5,1/26/20,General,Love it!!!
19.12.0.12,1,1/26/20,"Account, Performance","Garbage, won't let you delete your account. It took hours to finally be able to delete email and account, save yourself the hassle and dont download it."
19.12.0.12,5,1/26/20,General,This app helps me out alot I really like it.
19.12.0.12,5,1/26/20,General,Great app! I use this to manage my small business information.
19.12.0.12,5,1/26/20,General,Will be great very soon
19.12.0.12,5,1/26/20,"General, Help",No complaints so far! It's been very easy and there are plenty of videos online to explain things.
19.12.0.12,4,1/26/20,"General, Invoicing",Good. Needs ability to save credit card info so easy to invoice in the future.
20.0.0,1,1/26/20,Quality,Session expired!?!? Just signed up....
19.12.0.12,3,1/25/20,Quality,Sometimes Glitchy. some days it works some days it doesnt but overall worth ther money becasue the Website always works
19.10.0.3,5,1/25/20,General,Really nice
19.12.0.12,5,1/25/20,Accounting,Awesome book keeping app.
19.12.0.12,1,1/25/20,"Quality, Expense","Error Everytime I log in, and requires password so often. Edit: the log in is working, but when I try to add an expense it doesn't save, the same button doesn't work"
19.12.0.12,5,1/25/20,General,Great!
19.12.0.12,2,1/25/20,General,Limited functionality. Some developers have chosen from over function.
19.12.0.12,5,1/25/20,General,Easy to operate and great functionality
19.12.0.12,5,1/25/20,Experience,Smooth
19.12.0.12,5,1/25/20,General,This app does so much for our new business!):
19.12.0.12,1,1/24/20,Subscription,"Even though I canceled my subscription 1 month ago, it still continues to withhold money from me."
19.12.0.12,5,1/24/20,Accounting,This is the best way to do mobile accounting for a service business!!
19.12.0.12,5,1/24/20,General,Excellente application
19.12.0.12,5,1/24/20,General,Good job
19.12.0.12,5,1/24/20,Accounting,I've had quick books for several years now & i love it!!!
19.12.0.12,5,1/24/20,Accounting,"Great app, very useful"
19.12.0.12,5,1/24/20,Expenses,So easy to use and realized how much I've been spending. Really hurting profits. Now I can minimize expenses and increase profits. Worth every penny!!!!
19.12.0.12,5,1/23/20,Experience,So easy to use!
19.12.0.12,1,1/23/20,"Quality, Receipt Capture, Banking, Expenses",Malfunctions on every level. Did not attach a single receipt picture to the transaction. Brought in the bank accounts and scrambled them. Even on the desktop deposits are expenses and you cannot edit them
19.12.0.12,5,1/23/20,Experience,Great experience
,1,1/23/20,General,1 star : I have been inundated with advertisements are so much I went ahead and download it it just so that I could give it a review. hopefully they will not continue to bug me with YouTube videos and all these unimportant advertisements I didn't ask for in the first place.
19.12.0.12,5,1/23/20,General,Works great. Takes longer to do things because it's on a smartphone.
,5,1/23/20,General,Lonell is BELOVE AND LOVE THIS
19.12.0.12,5,1/23/20,"General, Experience","Great app, easy to use, very helpful to track your expenses"
19.12.0.12,1,1/23/20,Data,I have had this app for my business for about 1 year. every time I spent the money new transection comes up 2 time . And it's too hard to remove on transection.
19.12.0.12,5,1/23/20,Accounting,Love this. Ticks all the boxes for my small business accounting needs!
19.12.0.12,5,1/23/20,Customers Service,"Absolutely overwhelming! you surround yourselves with the most incredible and pleasant staff. Bill, just like the the other individuals that I talked with in the last two days are extraordinary and simply the best. Thanks a lot for all your help. Pedro"
19.12.0.12,1,1/23/20,General,dont want
,1,1/23/20,Performance,Extremely slow. No it not slow wifi no it's not the device note 10 it's just a slow app
19.12.0.12,5,1/23/20,General,easy to use and very conventient to access on the job
19.12.0.12,1,1/23/20,Quality,My App has stopped working on my Samsung s9 for 2 days in a row. You should have sent an email to inform subscribers if your app is going to be experiencing a downtime.
19.12.0.12,4,1/23/20,"General, Attachments","The app is great and works well. However, I can't attach PDFs, I can only attach images to expenses. Please fix this issue."
19.12.0.12,1,1/22/20,Subscription,"Cancelling your subscription seems impossible. I've emailed, called, used their help menu. It shouldn't be this hard. Still trying to cancel."
19.12.0.12,5,1/22/20,General,Easy and user friendly app
19.12.0.12,5,1/22/20,"General, Experience",Great software. So easy to use and very reliable.
19.12.0.12,5,1/22/20,Account,Super time saving account management
19.12.0.12,1,1/22/20,Global,Signing up is not supported for Android in India.
,5,1/22/20,Accounting,Has become my.#1 accounting sw.
19.12.0.9,5,1/22/20,Experience,User friendly
19.12.0.12,2,1/22/20,Quality,Won't allow me to login on the mobile app. Desktop works fine. Still tracking my SMS using my phone...just cant access my account This account does not allow for access online through the app... something like that is the error message I get
,1,1/21/20,Customers Service,Awful customer service
19.12.0.12,5,1/21/20,General,Very easy to quote and input information 👍
19.12.0.12,1,1/21/20,Quality,Deleting your account is a nightmare!!
,5,1/21/20,Estimates,Love it. Great for doing ESTIMATES
19.12.0.12,5,1/21/20,Mileage Tracking,Great app. Never knew how much time you spen in transit until the tracking app was installed. 👍👍
19.12.0.12,1,1/21/20,Banking,What is the schedule to have Bank Of America accounts working with QuickBooks again? I'm thinking it may be better to cancel my subscription and switch to a better solution.
19.12.0.12,4,1/21/20,General,Great job
19.12.0.12,3,1/21/20,Payroll,Looking for an update to more easily track hours per job.
19.12.0.12,2,1/21/20,"Quality, Mileage Tracking, Expenses","Lot of features in Mobile does not work. Like adding mileage gives error all the time, adding an expense gives an error, but when you see it online expenses are added. Lot of small bugs, very slow application overall."
19.12.0.9,5,1/21/20,Payments,I gave it a week b4 I changed my rating my qb is now working perfectly no more stress on updating my sales n payments... Thanks team 5 star well deserved
19.12.0.12,1,1/21/20,General,Useless app. Waste of money. Lousy support. Subscribe at your own risk. I am cancelling mine
19.8.0.2,4,1/21/20,General,A Good Business Partner!
19.12.0.12,1,1/21/20,"General, Experience",Useless app. Not user friendly. Waste of money. Major disappointment
19.12.0.12,5,1/20/20,Experience,Easy to use.
19.12.0.12,5,1/20/20,"Accounting, Tax","Great accounting capabilities for Small and Medium enterprises, compatible across all my devices. Taxation is resolved quickly, no stress and most definitely no complains"
19.12.0.12,5,1/20/20,General,Love this app
19.12.0.12,2,1/19/20,"Quality, Banking",I cannot view transaction's this app is just ok. Very buggie transaction litterly NEVER work. Even the web version sucks. I'm currently looking to replace quick books because it doesn't import PayPal sales
19.12.0.12,5,1/19/20,Experience,Very user friendly and accessible
19.12.0.12,4,1/19/20,General,"Works as advertised, simple to use and learn."
19.8.1.2,5,1/19/20,General,Had everything that I needed to run my business.
19.12.0.11,2,1/19/20,Updates,"Update 2020: Since the last 2 updates, the app is broken now and does not work at all. Can't log in, and just get a 'device appears to be offline' message. Edit - the login issue persisted for about a week. Uninstall/clear cache etc did nothing. Waiting it out was all that helped. QB development often release updates without proper testing. Updates are usually followed by further updates, so be aware, and delay updating if all seems to be working on your current version."
19.12.0.12,5,1/19/20,Receipt Capture,Easy access to receipt and monitoring funds made and spent
19.12.0.12,3,1/18/20,Quality,Too often getting experiencing technical difficulties when trying to login.
19.12.0.12,1,1/18/20,"Quality, Customers Service",Dreadful experience so far. Bought QB 16th Dec 2019 and cant get a call back from an English speaker to help me with set up despite multiple attempts! Why is Sales UK based but Support isnt? This is 2nd review - 1st disappeared!!! So disappointed and very desperate to get started. I can login to QB Online but says Im in USA not UK. I have emailed you twice now. Still no reply.
,3,1/18/20,"Estimates, Invoicing",So you should be able to use the same #for an invoice as an estimate. The size of he invoice / estimate # should be in a larger font. Should have the option to call map etc the customer from in the invoice w/o having to back out and go into the customer and then call. The option to move a customer from estimate to invoice and back again ( with the same # ) would be extremely helpful.
19.12.0.12,1,1/18/20,Quality,"I've downloaded this app, uninstalled it, and reinstalled it and it will not allow me to create an account. It continually signs me out and I have to re-enter all my information. I'm giving up!"
19.12.0.12,1,1/17/20,"Banking, Customer Service",Update has NOT fixed this issue! Why can't I see bank account details in the app? You can on the iOS app contacted help desk who couldn't help! Without access to accounts the app is effectively useless. I have done everything you suggest. Home screen is now blank! So even worse than when I started. I have also contacted support with no solution as yet.
19.12.0.11,5,1/17/20,General,This app is simple and really easy to use. Makes my job way easier.
19.11.0.7,4,1/17/20,General,Helps to keep our business running. Love the mobile ability
19.12.0.12,2,1/17/20,Customers,This app is basically useless. It doesn't show all of the information in the customer and vendor profiles so if I'm trying to look anything up with my phone I had to go onto the actual website in my phones browser to find anything I need. Why even make the app if it's not going to show you everything?
,5,1/17/20,General,I love the simple features on the app.
,1,1/17/20,Experience,I cant for the life of me grasp how I need to male an account before even seeing a demo or testing. Not cool
19.12.0.11,1,1/17/20,"Customer Service, Subscriptions","I am not quite sure about QuickBooks customer service. I have been billed over $400 a month for the last 5 months. I I have yet to have my QuickBooks reconciled in any type of way. It is so messed up. I've gone through four different accountants. On top of that, there was a bug, I did get reimbursed for the payroll aspect of it, but have not yet been able to utilize the actual program I am paying for. It definitely does not show up on this app either. I am so frustrated."
19.12.0.12,4,1/16/20,"Quality, Customers Service",I am having trouble getting on my mobile app keep getting errors I have spoke with intuit help to no Avail
19.12.0.12,5,1/16/20,"Expenses, Payments, Estiamtes, Invoicing","Love this app, keeps track of all my expenses and payments from clients. Easiest way to do estimates and invoices as well."
,5,1/16/20,"Updates, Customers Service",I love the freedom that qbook gives me with the online version I can work at any place out side of the office.. also update are free and there free support team are the best. Thanks so much qbook for be there for my business and me..
19.12.0.12,1,1/16/20,"Updates, Quality",App never up to date with website or it does not show you everything you can see online. Sometimes you can't even see anyone's invoices or estimates. Always an issue.
19.12.0.12,5,1/16/20,General,I'm completely new to this app. Because of that I might not know what to look for. But this makes starting up a business extremely easy. Definitely plan on subscribing once the trial is up. 👍And would gladly suggest this app to anyone looking for this kind of help and ease.
19.12.0.11,5,1/15/20,General,Works great for our small business!
19.12.0.12,5,1/15/20,General,"Great app, makes my life much easier!!"
19.12.0.11,1,1/15/20,Receipt Capture,"Worst app ever!!! When logged in only options are help, feedback and something else so unnecessary. You're suppose to be able to scan your receipts .. nope! Hi Kyle, since I am unable to reply to you I am editing my review and answering you here. No, it does not allow me to scan My receipt. It allows you to do nothing on the app except for access help , feedback. My husband has the same app on this phone and yes he's able to upload receipts etc."
,1,1/15/20,"General, Customers Service",After eading all the problems and seeing 90% of the reviews being 1 star im going to save a headache on this scam app should be taken off the market or sued for false advertising and costing people thousands of dollars. All the responses from support sound like they are prewritten for the complaints. Please take app off the market and quit ruing the admin side of peoples hard work to start a business.
19.12.0.12,1,1/14/20,Banking,Will not connect to bank
19.12.0.12,1,1/14/20,Subscription,Didnt realise you had to pay
19.12.0.12,4,1/14/20,Mileage Tracking,Since the update I am not able to find the mileage tracking feature on the Android app
19.8.0.2,5,1/14/20,Experience,"Convenient, but I wish I were more familiar with business accounting. Not for beginners."
19.12.0.9,1,1/14/20,"General, Customers Service",At first I thought this was a great app. And a good program. Now I'm finding out more and more that it sucks. Beware you will never be able to talk to anybody. When you have a problem they want you to ask other people that have this program. You cannot talk to anybody at all. They misdirect you through loops. Soon as I finish collecting on invoices I have open I will close this account and never use it again. Highly recommend to find a better app and a better program. This is a joke...
19.12.0.11,3,1/14/20,"Dashboard, Customers Service",1/13/20 update - Issue resolved but shouldn't have taken this many weeks. 1/7/20 Update - I had used the mobile app for Android for quite a long time with no issue and then approximately one month ago after an update the dashboard no longer has any information and is blank. I can still see activity but there's no way to get to customers or any of the other functions. I've emailed previously with no response. Previous review: Works well for viewing quickbooks info and taking payments
19.12.0.9,1,1/13/20,"Dashboard, Quality","Similar issues as Gillian, Dashboard blank, constant error messages on mobile. I also ended up accidentally reinstalling a slightly different version and was paying double!! I didn't realize there were two very similar apps!! I also uninstalled re-installed and it didn't fix issue. I am currently trying to figure out how to recover all the expenses and photo's of receipts for the tax season."
19.12.0.10,1,1/13/20,"Subscription, Customers Service",I only gave it a stare so I could write a review! There are hidden fees and bad customer service! I will not recommend this system ever!!!!!!!!!!!!
19.12.0.11,5,1/13/20,Experience,"If I can navigate this app, anyone can! Super easy and really professional. I'm loving it! I love the different reports as well. Thank you!"
19.12.0.11,5,1/13/20,Experience,"Amazing This app can be difficult to get used to, Like ensure you use docx to make your templates,and don't use bold ever.. Setup your email template etc etc But it ends up being the best app ever.. It's features on the mobile app for invoicing, balance's, incoming and outgoing, tax digitally, are so convenient. I am organized now, and everything is handled for professionally."
5.1.2,4,1/13/20,Subscription,"I used for years and worked great the online QuickBooks. If cancelling, be careful because it has glitch and it is hard to get the refund."
5.1.2,1,1/13/20,Subscription,They said in your invoice that you can cancel anytime and it's not true! It has a glitch and I couldn't cancel it. Make me lost two days trying to cancel it and then even charge me the month and did not give back my money. They went from 17 dollars a month to 40 dollars per month! Don't never quickbooks
19.12.0.9,1,1/13/20,"Quality, Customers Service","WORST BACKEND SUPPORT EVER! THE ENGINEERS ARE UNABLE TO RESOLVE A SIMPLE ""SAVE"" FEATURE WHICH IS A NECESSITY IN ALL SOFTWARES. AND WHEN THEY CANNOT RESOLVE, THEY JUST SHUT YOU OFF BY SENDING YOU A THANK YOU EMAIL. WASTE OF TIME AND MONEY. UNRELIABLE AND LOUSY SUPPORT TRY IT AT YOUR OWN RISK"
19.12.0.11,2,1/13/20,"Help, Inventory","The instructions in the help section are out of date or just completely wrong. I can't set my cost of goods. QB makes my cost my sale price and there seems to be no way to fix that. So it creates a lot of extra work to reconcile sales and costs. It's BS considering this is an essential function of accounting. But of all the options QB is the cheapest, so I guess it's this or go somewhere else and pay more money to have an accounting program perform slightly more than basic functions."
19.12.0.9,1,1/13/20,Subscription,"I can't delete my account! I installed the app, and create profile, but it seems that there is no way you can't delete your account or ask Quick book to forget your info, I'm afraid I shared my info."
19.12.0.11,3,1/12/20,"Quality, Performance","The interface is really cute. On my laptop, online has consistent data. I have used this for over 3 years and one thing that seems to be VERY consistent is the phone app is boo boo. It never pulled data accurately. Whenever I need to pull overdue invoices for a client, the app fails (it will not show them). I have to pull over and pull out my computer. That's stupid. Intuit has tremendous resources and they always have various bugs and the app has always been slow."
19.12.0.11,5,1/12/20,Account,Excellent for tracking my accounts. Saves me loads of time and is super convenient to use on phone or laptop
19.12.0.11,2,1/12/20,"Experience, Quality","Not user friendly, disappointing, easier to log into my bank. Home page cuts off ability to view all accounts AND their balances. Cannot organize or sort homepage. Account balances are not updated frequently enough, last update was over 16 hours ago. Liked QuickBooks self-employed version. Changes I made on desktop version did not come through on app. Waste of time to use."
19.12.0.10,3,1/12/20,"General, Updates",Overall excellent app little disappointed as the app has updated the other day and the activity function has gone which is now a bit slower without it if this can be brought back it would be great
19.12.0.11,1,1/12/20,"Experience, Reports","If I can navigate this app, anyone can! Super easy and really professional. I'm loving it! I love the different reports as well. Thank you!"
19.12.0.11,5,1/12/20,Updates,Solved my problem with today's update patch... Thanks quickbooks team 👍
19.12.0.10,5,1/11/20,General,Quickbooks makes doing business easy!! The app compliments the desk top program!!
19.12.0.11,5,1/11/20,General,Great app. Getting better all the time too
19.12.0.10,1,1/11/20,Quality,"Since last week couldn't login on Android or Web application. . Tried out Ignito mode, different browsers., clearing cache even did not worked out. What's the problem guys?"
19.12.0.10,1,1/11/20,Quality,"Am trying to login, wont let me, technical problems. I have all my expenses in there..."
19.12.0.10,2,1/11/20,Quality,"I don't seem to be able to login with Google. Is this supported on the mobile app (Android), like it is supported on the website?"
19.10.0.3,5,1/11/20,Invoicing,Maks invoicing on the go fast and easy. Just write it up and send it to their email.
,5,1/10/20,Experience,Looks simple and imteresting
,5,1/10/20,General,It's just great to have for a small business on the road. 😉
19.12.0.10,1,1/10/20,Quality,Cant log in. The Google app version does not communicate with the regular QB site. It's not useful if I cant log in with the app on my phone.
19.12.0.10,5,1/10/20,General,"Perfect for the sole trader, easy to use 5*"
,5,1/10/20,General,"Haven't dug deep into the options available, but thus far my experience has been very good."
19.12.0.10,1,1/10/20,Update,"Since the update I can't connect, always says I don't have a internet connection."
19.12.0.10,3,1/10/20,"Quality, Customers","This app, seems to have great features but has nany problems, 1, when creating an invoice and saving, there is no indication that it has actually been saved, them try to leave the page the app asks if i want to leave without saving IDK since IDK if it has been saved. Then you leave page and find that multiple invoices have been created, UGH. 2,There is only a name slot for new customer entry, no first, last name. After creating a new customer have to change entry from computer. Counter intuitive"
19.10.0.3,4,1/10/20,General,Great for one person small business
19.12.0.10,5,1/10/20,"Quality, Customers Service","Works all fine and easy to use. Pro tip: if anything breaks, delete your local cache and try again 😊 (thanks to the QB support)"
19.12.0.10,2,1/10/20,"Dashboard, Invoicing","Having a similar problem as many other users recently. Dashboard is blank on my phone app. Needing to generate invoices on my tablet. Been like this for a few weeks now. Tried uninstall/reinstall, no help. Very unhappy. Please resolve this quickly!!! Uninstalled/reinstalled again today (10/1/20). Still the same, then a small update was available, dashboard is back but has an odd banner across the top, something do do with this review but I can only read a small portion!"
19.12.0.10,1,1/10/20,Quality,This app doesn't work! Such a disappointment to say the least! I'll edit my review once the app is available for use! Still not working! Uninstalling for now! I hope that you fix it!
19.12.0.9,5,1/10/20,"Payments, Expenses",I can receive money's from clientele and keep all of my expenses organized in such a simple way!
,1,1/10/20,Payroll,Need a portal for employees
19.12.0.9,1,1/9/20,Receipts,Cant find my reciepts that I entered
19.12.0.9,1,1/9/20,Dashboard,Since the most recent update I cannot see my dashboard or add expenses to my company. Fix It. Done all diagnostic steps so this update is invalid. Galaxy s10+ here
,3,1/9/20,Banking,I've had this app for over a year. First 6 months it worked great. All of a sudden I get an error code saying I can't use the banking section. Very inconvenient. It's been like this for 3+ months.
19.12.0.9,1,1/9/20,Banking,Was working for a couple months. Now I can longer link to my Bank account and the app constantly freezes with either a blank screen or white screen. Completely useless..
19.12.0.9,5,1/9/20,General,"Perfect for the sole trader, easy to use 5*"
19.12.0.9,1,1/9/20,Quality,"The app has stopped working on my phone, I've been trying to log in for 2 weeks now and it constantly said the Internet isn't connected, which it is. Have sent an email via your contact details abs had no response regarding this issue."
19.12.0.9,1,1/9/20,Quality,Problem in sigin to app
19.12.0.9,1,1/9/20,General,"This program is absolute garbage!! The list of things it cannot do is much longer than what it can. You can't even print off a $#%# vendor invoice, how hard is that. You can print off everything else, just not that. Your sales tax system is a complete joke, after I complained that the system was ignoring the fact that some of my clients were tax exempt they fixed that by clearing all my tax exempt preferences. Dont even bother calling to support, you'll get some diptuit who dont know squat."
19.12.0.9,1,1/9/20,"Dashboard, Invoicing",Since they changed the app its not working properly nothing appears on the dashboard and can't produce invoices
19.12.0.9,2,1/9/20,Quality,Having issues with the app and no help!
19.12.0.9,1,1/9/20,Dashboard,Will not load dashboard. Has not worked in a month. I've tried uninstalling and downloading a fresh version. Nothing helps. We are a business user and this is a real inconvenience.
19.12.0.9,1,1/9/20,Dashboard,"Was great, while it worked. Like the previous review, on a Galaxy S9 I just get a blank dashboard and cannot enter new expenses. So the product has no use. Not very impressed with QB's ""we're working on it"" response. This should have been basic testing done by the team, not by paying customers."
19.12.0.9,4,1/9/20,Updates,After update my app estimate not add on mobile please help me
19.12.0.9,1,1/9/20,General,This app doesn't work! Such a disappointment to say the least! I'll edit my review once the app is available for use!
19.12.0.9,1,1/8/20,"Customers Service, Receipt Capture","Like many other I can no longer log in to the app, spoke to Barbara on chat via the browser version and she seemed unaware of the problem despite several reviews mentioning it. Otherwise I like the app (when it works!) although there are less functions than desktop. Good particularly for scanning bills but can't do that at the moment..."
19.12.0.9,1,1/8/20,Updates,The new update just doesnt detect internet connection and hence cant login.
19.12.0.9,1,1/8/20,Dashboard,Worked ok for a couple if weeks but home screen no longer visible on galaxy s10
19.3,1,1/8/20,Dashboard,1/7/20 Update - I had used the mobile app for Android for quite a long time with no issue and then approximately one month ago after an update the dashboard no longer has any information and is blank. I can still see activity but there's no way to get to customers or any of the other functions. I've emailed previously with no response. Previous review: Works well for viewing quickbooks info and taking payments
19.12.0.9,5,1/8/20,General,"I've used other platforms but this is the best. Clear, concise and easy to use. I love quickbooks."
19.12.0.9,1,1/7/20,"Quality, Customers Service","Was working ok then app was updated,. Help centre can't give time to fix or troubleshoot to be able to use this whilst out on jobsites Not happy at all costing money"
19.12.0.9,1,1/7/20,Dashboard,Dashboard won't even populate. Menu button doesn't work. I can only see recent activity. I can not use the app at all!!!!
19.12.0.9,1,1/7/20,Dashboard,Just unistalled and reinstalled the app hopefully it is going to work. After doing over 70 invoices it stopped working dashboard showed blank 😕
20.01.6,1,1/31/20,"Receipt match,quality,invoicing,payment,report,navigation,help,customers service,data","This app looks awesome. Very well thought out design and it appears that most of the functions are right at my fingertips. Not so. I have used it mostly for categorizing expenses. I was trying to run a report, but nothing really made sense. I went first to google to look for some tutorial videos, but it appears that most of the videos available online are only advertisements. That is when I went to the help and support section in app. In the section there is a FAQs area. Perfect! When I read the only article in this section I thought it must be some kind of joke. It was an article on how to get to the FAQs section on the app. It is like some perverted Groundhog Day scene, or like when you are reviewing a resume for a potential new hire and one of the sections is the filler text from the template they created the resume from. I expect more from this company. Fix this or simply remove it."
20.01.5,1,1/30/20,"quality,updates",This update is terrible basically unusable please change it back ASAP
20.01.5,3,1/30/20,"help,data,customers service,experience,quality,transaction","The majority of the time this app is wonderful. On a regular basis it will completely close out and I will lose the transaction I’m in the middle of. 
I’ve continually notified Intuit about this since the problem started in April of 2019. The consistent response is that they close out the ticket same day and never respond or research the issue. 
Today I’m told that they no longer have a department to help customers with the app. 
Now I’ve just recently renewed my annual subscription so I’m out that money because this product is unreliable."
20.01.5,5,1/30/20,"general,quality",One my favorite apps to use while working. I’m on it like a social media page. Thanks quick books.
20.01.6,5,1/30/20,"general,quality",This absolutely works perfectly without difficulty.
20.01.4,1,1/29/20,"quality,durability,banking,updates",Just deleted. Crashed. Didn’t update banking. Five star to one in a flash.
20.01.4,1,1/29/20,"experience,integration,quality,taxes",Transferring company file from online QuickBooks to TurboTax is only was possible by transferring the company file to desktop QuickBooks and from there to TurboTax. To do this transition you will need an old computer with windows 7 and IE11 32 Bit. Totally ridiculous and Intuit looks does not care about this issue and left their customers alone with the issue. It’s a shame.
20.01.4,5,1/29/20,"paperwork,experience",I have a Handyman business and this app made the paperwork side of the business easy!! I definitely recommend
20.01.4,4,1/29/20,"experience,currency,quality,global,invoicing,payment","Very easy to use BUT multi currency is a pain. I’m based in US but invoice in UK, Mexico and Spain and with QuickBooks you have to be 100% one currency so it’s a pain for my customers and makes me look second rate as a “in global” business"
