Body,aspect_terms
App is great but don’t use the pay option. It took a week for the money to hit my account.,
"Helps remove the fear & self doubt of being self employed, so glad I took the leap!",Experience
"Having just started using the online version of QB, after 25years of desktop, I thought entering bills would be so much easier as I could take a photo on the app. But, no. Only ‘expenses’ can be entered which means invoices that are paid on the day they’re issued. Not much help and I’ve wasted a lot of time entering expenses only to mess up my VAT report. 
Please, I don’t want any more graphics, just the option to enter bills.","App, Invoicing"
"Appli pas intuitive du tout.
Impossible de ce connecter aux compte bancaires.
Bugs a répétition","App, Quality, Customer"
"Truly like the app now. I can import names from my iPhone and do many of the things I can do on a main computer.

I’d like to see them allow the entering of bills on the app. I’d use that all the time.",App
"There are some glitches with a couple of the features but for the most part, it’s exactly what I need. A great help for record keeping and invoicing my customers efficiently. There should be an option to select and send multiple invoices at once. I have multiple invoices per customer each week.","Help, Invoicing"
I cannot say enough about the convenience of the app. I use it as soon as I get paid to log payments on it novices and enter sales receipts. This app and hiring a bookkeeper have been the best financial tools for the success of my business!,App
Such an easy app to use as a new business owner and entrepreneur this really helps keep track of tax purposes and client sales!,
"tenho 17 anos, nao entendi nd, sou burra ou esse app é ruim? talvez a primeira opção, mas de qq forma n gostei",App
"Does this app cost anything, I am a small business, I haven’t made a profit yet, and don’t have much money, any help?",App
This is a new glitch since the update,Quality
"QuickBooks finally fixed the problem of not being able to enter the date for bank deposits in the app, but now it’s gone from bad to worse. Now the bank deposit entry page won’t load. You get “this feature is not available at this time”. You have to close the program over and over again to finally get the bank deposit entry to load, sometimes even power cycling my phone. For $40 per month (minimum) you think they’d put a little more resources into their app, but they don’t have to since they’re a monopoly. Still the buggiest app on my phone.",Quality
CRASHES NON STOP ON IPAD,
"I have had nothing but issues.
Last financial year it worked fine now it attached to my bank account it’s shocking. Press accept for payments and expenses do the full month,
I then go to profit and loss and shows no where near what I put in.
4 hours of my life I won’t get back I give up and cancelling my subs","Quality, Expenses"
This app does not track mileage as advertised,App
Great app for fast results,App
"latest update breaks the invoices page layout.
long client names force the amount column into a single space column. now the amounts show like this. 
$1
2
3
4
instead if this $1234","Updates, Quality, Dashboard"
"There are some glitches with a couple of the features but for the most part, it’s exactly what I need. A great help for record keeping and invoicing my customers efficiently.",Help
"It will not connect with my back account consistently. Only when it wants to. Therefore it is unreliable and useless. 
 This is a known issue.",Quality
Terrible functionality. Doesn’t process many transactions. Don’t buy.,Transactions
"Update: 1/6/20 still a garbage app even after multiple emails back and forth with quickbooks development team and now it’s been weeks since I heard from them the app still don’t work even after new updates 

 App has been great up until 3 weeks ago now it no longer works! Crashes every time I try to open the app.","Updates, App, Transactions, Quality"
Quick books won’t upload garbage use and other accounting software.,Receipt Capture
"I wanted to try out quickbooks at the introductory price of 12.99 for three months, but got charged $24.99 for one month.",
"Trying to use the App. Nothing is happening, app opens and it’s blank this morning. Preformed an update too, still nothing.
Garbage app, sorry.",App
The only mobile app I recommend if you are into real estate. It makes my job as a small real estate owner easier and smarter. Thanks Quickbooks for this amazing app. Great job on maintaining it. Cheers! 👍🥂,App
"This app is useless for simple small business money in money out, it shouldn’t be this hard and definitely not worth the fight","App, Quality"
Never quits. Wicked easy to use.,
I upgraded to this account from the self employed version and the mileage is a joke. I thought the self employed was horrible. It completely missed a whole day of travel and cut’s off trips in the middle of traveling. Or cuts the trips starting and ending if it even records the visit.,Transactions
"Was forced to use qb online due to always changing fees for desktop version. always crashes. Hard to use. Terrible. Wish I could use another program.

New version has new colours!! Yay so practical!! Doesn’t accommodate QC payroll deductions like cssnt but that’s ok, it’s colourful. 

Intuit idiots.",Quality
Can’t view charts of accounts or produce a P&L report. Boo. 👎,
"The mileage tracking is an absolute nightmare. Stop trying to use my current locating and let me actual choose the locations I have saved. So, frustrating when your trying to bounce from job to job.","Mileage Tracking, Experience"
Don’t waste your time punching in a bunch of data only to have limited access to reports and editing. Total BS.,Quality
"I regret having payed for an year, as it stopped working...",
"I depend on my QuickBooks app daily.  As of yesterday, it doesn’t load on my iPhone 7 running iOS 13.3.  Needs to be fixed please.",
This is the best accounting software there is. QuickBooks makes my life so much easier and running my business is so much smoother with the available accounting options!,
"After the last update it stopped recognizing transactions. Even after the manual editing, still does not add them to my income. The same with the desktop app. The only difference is that the manual editing works on desktop.","Quality, Transactions, App"
Try to submit feedback and can’t within the app. They removed the quantity column from invoices and their support is dismissive. This is a big company who price gouges and doesn’t really care about it’s customers.,"App, Invoicing"
"This program is extremely user friendly and makes book keeping easy for small business owners but the cost of doing payroll for employees is extremely expensive.  
I have 5 employees and it costs way to much for me to use Quickbooks 👎","App, Expenses"
"So far like this app. I need not go to my computer for bookkeeping or to see what’s going on with accounting. Only I am not happy about general entries. Earlier, I was able to open and see general entries. Now app doesn’t open general entry. When I tried to open, it took me back to homescreen.",App
"VERY poor, i’m trying to use it on iPad, very frustrated. Would not recommend",Experience
"Was forced to use qb online due to always changing fees for desktop version. always crashes. Hard to use. Terrible. Wish I could use another program.

New version has new colours!! Yay so practical!! Doesn’t accommodate QC payroll deductions like cssnt but that’s ok, it’s colourful. 

Intuit idiots.",Quality
and yet they won’t a install once again on iOS you would think IT people would get it,
"This app is very very slow.. 10 minutes to load , another 10 minutes to load customer screen, and 15 minutes to apply 1 payment","App, Performance, Customer Service"
The search feature needs improvement. Can only search by customer info.  Can’t seem to search for an invoice by keywords that are in the invoice.,Invoicing
"I use the app heavily on the road to do things like match payments to open invoices so I have less work to do at my desk. A recent update removed the ability for me to drill into my bank account and match transactions to expenses or payments. This is very frustrating for me as a business owner, along with the steadily rising monthly fee, and Intuit may eventually drive me off their platform. Small business owners need not to be squeezed by companies such as Intuit, but instead have simple, quality software that allows us to grow and not take up valuable revenue.","App, Invoicing, Updates, Transactions, Expenses"
Hay problemas de conexión a BBVA,
Already with $40 was high and now not sure when they changed to $50 per month. And now even more higher. Not even options,
"...ive been using this platform for years now, and it was good initially but now its glitchy and unreliable and its compatibility with ios, and different browsers has become a big issue, i keep being fobbed off by the help team and nothing improves. My lowest review score ever is due to 3 things, lack of help when problems arise despite paying 6.99 a month, and the failings of the software in general, functions that no longer work, or input boxes that you cannot input too and thirdly a lack of cis compatibility. My accountant has been telling me to change from quickbooks as he refuses to use it at this point for the same reasons so this is my final month while i try to download what i can and get well away from this company",Quality
"All the time. When will I stop banging my head against the wall using this app. I’ve tried everything to resolve the crashing issue on this app and still it crashes and still I go back only to have my work lost over and over again hoping that this time it wont crash mid invoice or estimate. Please let us know when Intuit can develop an app that works. And lower your credit card rates too, why don’t ya?!
Intuit has so many different ways and apps and products... please just do what you’re supposed to do well, like a functioning QuickBooks.","App, Quality, Invoicing, Estimates"
Makes running my construction company easier than ever before. Don’t know how we ever managed without it.,
"When they updated the app they changed how bank deposits are recorded. It used to be from the home screen you could tap the plus sign and in addition to entering a debit you could add a deposit. They took that away and I was confused. But their customer support responded quickly to my review explaining that they had moved it to the top three bars.
I’m solved! And I really appreciated them responding.","Help, Customer Service, Transactions"
"I’ve been quickbooks user for a long time and discovered this app gives a totally different set of numbers than quickbooks online does. Expenses are different than real version so please beware, you can’t trust the numbers. Contacted support to no avail. I guess they don’t read the other reviews either.
Received a response from developer tried all their suggestions results the same. My mobile app doesn’t display an accurate picture of expenses. Many others have noted the same thing. The solution isn’t to delete and reinstall the app. That’s not a solution that’s a work around.","App, Customer Service"
This app was written by someone who does not understand QuickBooks and its purpose. Get back to basics please if this is to be used by us.,App
Quit changing format up all the time.,
"Even after the most recent update the app still dose not accurately reflect my QBO account.  All information on vended and clients are not up to date.  This had been an ongoing issue for more than a year now. I keep hoping with every update this will be correct, but nothing yet.","Updates, App, Quality"
"Al principio lo configuras todo pensando que la puedes usar gratis aunque luego hagas compras en la app, pero no es así. Lo configuras todo con tus datos personales y cuando terminas te dicen que debes pagar. Y a mi opinión no es barata.",App
"The data on the app does not match the data on my computer when logged into QBO. This gets worse with the more time that passes by. The only way to fix this, at least temporarily, is to uninstall the app from my phone and reinstall it again. That is a real pain!  I will now delete the app all together!,","App, Quality, Transactions"
"I use Quickbooks Online for several companies. It works great until you realize there is no way to actually archive your data when you no longer need an active subscription.

I closed a business this year and no longer needed an active QBO subscription for it. When I went and looked for a way to save a copy of everything for audit purposes (CRA requires you keep a record of everything for several years after your business closes) there was no option to properly back everything up. Quickbooks support will tell you you can export some spreadsheets but they are incomplete. Attachments and receipts are not included. 

It seems the only way to properly keep my records if i happen to need them in the future is continue paying a monthly subscription. 

I should be able to download a complete copy of MY DATA whenever I want. 

Give this a quick internet search and see what a problem it is. Also notice how Quickbooks staff never directly answer this question in the forums. 

If you want to be stuck paying a monthly subscription even when you don’t need to use the product anymore than this is the product for you!","Subscription, Customer Service"
"I’ve been quickbooks user for a long time and discovered this app gives a totally different set of numbers than quickbooks online does. Expenses are different than real version so please beware, you can’t trust the numbers. Contacted support to no avail. I guess they don’t read the other reviews either.","App, Customer Service"
Love it. Super easy to figure out and is great  whether you’re on the go or at a computer.,
I would love to be able to do up my company’s payroll on the fly if I’m out on a job site or on a business trip. Please fix this,App
I love being able to add expenses while on the road. I appreciate the snapshot of where my business is performing. It is great to have a record of what’s going on!,Expenses
I have enjoyed using the app. Has what I need for most part.,App
"The various plans either offer too many bells and whistles or not enough basic functions for a small company. Tons of redundant functions, and glitches are rampant. And quite frankly, except for the 1-2 year beginning subscriptions, the plan prices are overly expensive. Cannot recommend this program/app at all.","Quality, App"
I can’t sign in. Keeps telling me my information is wrong even after resetting the password.,
"Tout allait bien jusqu’à ce que je doives renouveler mon abonnement. Maintenant, je n’ai plus accès aux fonctions du logiciel Quickbooks en ligne. Quickbooks me dit de téléphoner Apple Store et Apple Store me dit de contacter Quickbooks. Bande d’incapables! Incompétents! La facturation fonctionne bien avec Apple; les paiements sont retirés. C’est Quickbooks le problème! Réveillez-vous!!!",
"After updating the recently, App is crashing. Unable to login",Quality
"A pretty good product but let down by sneaky hidden limitations that conveniently prevent you downgrading. You may want to try the Essentials plan because it has multi currency, but beware. When you try and downgrade to Simple Start, you cannot. You might look up the help section “Downgrade your Quickbooks online plan”  and read If you think your current QuickBooks Online plan isn't the right fit for your business, don't worry. You can downgrade. But quite a way down the page it states

QuickBooks Online Simple Start doesn’t have a multi-currency feature. If you have this feature turned on in your current plan, you won’t be able to switch to Simple Start.

Get in touch with us so we can help.

On the featured list for Multi-currency in Essentials, there is No Mention of this restriction.  Now you probably tried Essentials BECAUSE of the multi-currency. So you might be kind of annoyed to discover that when you get in touch, you will be told by the call centre employee in the Philippines, “No you cannot”.  No explanation as to why not.  By this stage you will have spent an hour and be REALLY ANNOYED, when you think how they might have simply stated this CLEARLY when you were easing their material promoting their product, when you were planning which one might suit you. 

A billion dollar company, and they stoop to this level of ducking and weaving, locking you into paying TWICE the amount for something you have decided to TRY but then decided you don’t need. Until they fix this, I suggest you look elsewhere.","Help, Quality"
"We are extremely dissatisfied with your customer services - it's a joke of 'customer service.' 

Quickbooks is just a facade because it doesn't really care for its clients. 

After hours of being on the phone with your Customer Service Labyrinth of Incompentence, we will take our business elsewhere and for every client that we have, we will tell them how awful Quickbooks is with it's robotic approach to Customer Service. 

It's a company that is very quick to take its money but takes no responsibility and accountability for when they drop the ball and make a mistake. 

It’s like the right hand has no idea what the left hand is doing. For an accounting software/company this is unacceptable.",Customer Service
Crashing on 2018 iPad Pro. Multiple times,
"Amazing, don’t know how I kept track of my business before QuickBooks.",
"Great program, easy to use and has lots of feature. At $20 month is pretty expensive for small small businesses.",App
"I enjoy each platform they offer for me, computer and iPhone. 
Only issue is they hiked up the annual price without notice. Still affordable but I was expecting the same price I originally paid.",
The App works well except for mileage tracking,App
"I can no longer record simple deposits from the mobile app. I’ve been using QuickBooks online for over a year now and make use of that functionality weekly.

Why did they take it away? Not every deposit is an invoice payment.","Quality, App, Invoicing"
"Update: it’s still crashing. I can’t upload ANY receipts from my phone. 🤬 what’s the point of using it if I can’t upload my receipts! 

Every time I try to upload a receipt from my phone, it crashes when I press save & doesn’t save at all. I’ve tried closing the app & trying again, but it does it every time, so basically I can’t take a picture of any receipt & upload it. 

Please fix!

Update: I still can’t upload a receipt unless I take a picture of it elsewhere & upload vs taking a picture of it on the app.","Quality, Receipt Capture, App"
Wish there was an app like this for free the soon I started free trial next step was if I wanted 3months and pay or have a small discount and still pay /:,Transactions
"I am a new business owner and so far this is working out quite well for me. I’ll start by saying I’ve never taken any classes on business or economics, and as far as employment goes over the course of my adult life I’ve held jobs that require enough knowledge of basic accounting/billing, computer/software, (and other skills of the like) to get by on common sense. When it comes to taxes— that’s a foreign language to me and filing every year has been pretty simple (no major deductions, write-offs, etc. to worry about other than claiming dependents), so TurboTax is typically my go-to.

That said, and with this all being new to me, I’ve found that QuickBooks is surprisingly user-friendly and fairly easy to figure out. There are still a few things I look at and I’m like “huh?”, but the customer support is pretty on-point as easy to contact (and work with to get help from). Most of the App interface is self-explanatory and the layout is easy to follow— it’s comfortable, for lack of a better word.

Initially, I was going to rate this App at 5 stars because I’m diggin’ it so far... but decided to go with 4 for one reason only— I wish there were more options within the App (as opposed to the online version accessed from a desktop/pc). Too many times, I’ve found myself frustrated because something I want to (or need to) do requires you to log in and use the website and won’t allow the action from the App... and I can’t always get to a computer to do so. Especially since I work in the service industry (not from home or in any other stationary place of business) and I’m always running around or on-site somewhere, so my phone is often all I have to work with. That’s it. Other than that, it’s pretty awesome!","App, Quality, Customer Service, Transactions"
"O suporte nunca resolve nada, fiz uma reclamação de BUG sério a um ano e nunca foi resolvido, tentei contato essa semana pra ver se iriam tomar uma atitude mas a resposta é sempre a mesma “o time de desenvolvimento está trabalhando nisso, não temos acesso a eles e nem informações a respeito” então fica aí com o seus deuses do desenvolvimento que eu em 2020 eu parti conta azul!!!",App
So far I’m pretty unhappy with this app because I thought that I could use it to track my time while I was with a client with a timer. I know that I read that somewhere when I was researching this app. That would have been a perfect feature. If this is something that I can actually do and someone can let me know how to do it I will change my rating to 4 or 5 stars.,App
"Can you please forget about the fancy fonts and new colours!!
First repair the many bugs and crucial features missing from this app so we can operate our business efficiently. Once that’s done feel free to change as many fonts as you like.","Quality, Mileage Tracking"
"I am a startup welding company, so computers are not my strong suit. Literally self taught with QB’s help section, and a couple video tutorials. I mange my companies financials, expenses and payables on my own. This is a big feat being a Neanderthal who sticks metal together.",Transactions
Using this app is like being your own accountant.  It helps keep track of your income and expenses.  I highly recommend to all self employed people.,App
"Sistema conta com ferramentas de controle interno, porem não muito útil se o que você precisar for algo mais profissional como enviar orçamento formalizados, boletos, faturas.

O pessoal do suporte te atende bem mas não consegue resolver problemas além de te tirar uma duvida de alguma função no sistema. Quando a coisa aperta, a resposta é automática “não temos acesso a essas ferramentas, apenas o desenvolvimento pode resolver isso. O programa é estrangeiro e tem dificuldade para se adequar ao país”",
Very good app! helps you learn a lot about coding!,Quality
The new format is not adaptable for vision impair people,
Bought this app and was unable to get it to work with an IPad. 4 hours on the phone with this company and still no success. They charged me and told me to get my money back through Apple. There is an open known problem being worked on their end but user’s beware. You won’t find out until you’ve paid.,App
When I am on my tablet the program will just randomly quit working and no of my work will be saved. It has been doing this for a  few months,App
Quick books,
"It’s quick, easy and very helpful to have for me as an Author. Works well for all Book events and accounting.",
"They fixed the update.

I updated my rating.",
"Smart move to have quickbooks for a small business owner. Makes it easier to do my job - one man show !!!!

Ces Lico",
Please fix,Experience
"The app is useless, I have to pull out my laptop or wait till I get to my home or office.  I would love to use my iPad Pro, that I carry everywhere but the app is literally useless!!! Please fix asap","App, Quality"
This app needs serious attention.  After years of putting up with this hot mess I’m fed up and rarely use it any more.  No matter what I do I can’t get data to load that is any more recent than 2016 for most vendors.  No one from tech support replies - ever.   American Express transactions can’t be synched or approved in the app.  About the only thing it’s useful for is matching typical transactions in our checking account.,"App, Customer Service, Quality, Transactions"
I wouldn’t use this program if my accountant didn’t require it.  Updates totally screw me up as I have to relearn.  Latest update I can’t even put in a new deposit from several months ago because the program tells me the date is not valid.  The other thing is we are already paying for the program but they constantly want more money to do basic accounting practices; upgrades according to QB. I get tired of seeing popups that tell me this program doesn’t offer that feature.,"App, Quality"
"Don’t bother with this app. More time updating this weekly with version changes and bug fixes... 

Jokers

Edit; 29th Nov 2019 - this continues - just look at the version history log on the app...",Quality
"The expenses screen is still full of bugs.  The whole thing goes wrong after adding a photo (which, incidentally, are now auto cropped even worse than before) and returning to the expenses screen.  Don’t you test this stuff before releasing it?? (I’m on iPhone X).","Expenses, Quality"
"I am not an accountant by any means, but I was hoping Quickbooks Online would be easier to use for us average joes. Nothing about their program is intuitive- you are instead given loads of video tutorials and when that’s not enough you can call their Sales Department to get transferred to Customer Service (don’t try direct, it’s no use) who 9/10 times have thick foreign accents (which makes it even harder to understand the foreign accounting software) and if you’re lucky you get scripted answers with a side of sass. In my opinion, if your programming isn’t overwhelmingly user friendly you should at least have an overwhelmingly good customer service experience to give us all hope that we can, one day, figure it out. I am stuck with this program because my husband finds it easy enough to create and send an invoice, but unfortunately this leaves me to figure out the rest once a month. So all in all, thanks to Quickbooks Online our customers do know how much they owe us but as for the accounting, nobody knows what’s going on there.","App, Transactions, Customer Service"
"Edit: still can’t see monthly reports. I don’t need the annual PL as much as the monthly. 

Can't do a lot of things. It's very very basic , pretty much a basic overview of your account.

You can’t do anything even as detailed as seeing the transactions in a PL report. It’s only broad overview stuff and entering new transactions. Can’t even switch cash vs accrual. 

Severely limited and cannot work in a pinch when you can’t use an actual computer.","Accountant, Quality, Transactions"
After 3 new updates in the last month app keeps crashing and losing everything I am doing.,"Help, Transactions"
Timesheets are a must have feature for the mobile app.,App
App has been great up until 3 weeks ago now it no longer works! Crashes every time I try to open the app.,"App, Quality"
"Not a completely trash service, but it hasn’t gotten any better despite company promises. Price has doubled since I initially joined. iPad app bugged, today I tried to enter an invoice payment, no joy. 
Tried to leave service last year and the year before. Exporting info was a nightmare, and impossible on Mac, effectively leaving me held hostage.
Cancelling service at end of year as I’d rather try a different online accounting or simply go with a desktop version.","Expenses, Invoicing, Experience"
Content and information through the app is basically useless. There are no features available for in depth data reporting. Absolutely atrocious if not using a laptop.,Experience
"When I first started using in April it appeared to be useful but as I learnt more about its functions or should I say functions I need that it can't do.

Also spoke with support several times about different issues only to find them poor and I knowledgeable. 

Seems there are also features on the desktop are missing from the iPad or maybe it's just not updating.

While using the desktop it don't appear to update dynamically and I often have to logout and in again just to perform a function mostly associated with banking and download.

Not liking it too much and will switch to alternative drop of a hat.

Was recommended by accountant as we are sub user with the introduction of mtd","Quality, Transactions"
